 1-ий Богдана Хмельницького провулок                                      | 1-й Богдана Хмельницького провулок                                      | w188022086
 1-ий Миколи Романенка провулок                                           | 1-й Миколи Романенка провулок                                           | w169662437
 1-ий Михайла Грищенка провулок                                           | 1-й Михайла Грищенка провулок                                           | w455544123
 1-й Бадаєва Павла провулок                                               | 1-й Павла Бадаєва провулок                                               | w60196359
 1-й  Морський провулок                                                   | 1-й Морський провулок                                                    | w393443341
 Аграрний 1-й тупик                                                       | 1-й Аграрний тупик                                                       | w453996220
 Аграрний 2-й тупик                                                       | 2-й Аграрний тупик                                                       | w446794660
 Аграрний 3-й тупик                                                       | 3-й Аграрний тупик                                                       | w453996219
 Аграрний 4-й тупик                                                       | 4-й Аграрний тупик                                                       | w455675073
 Аграрний 5-й тупик                                                       | 5-й Аграрний тупик                                                       | w502039140
 Аеропортівський 1-й провулок                                             | 1-й Аеропортівський провулок                                             | w406180432
 Аеропортівський 4-й провулок                                             | 4-й Аеропортівський провулок                                             | n4672132290,w332141090
 Аеропортівський 5-й провулок                                             | 5-й Аеропортівський провулок                                             | w108448600
 Аеропортівський 6-й провулок                                             | 6-й Аеропортівський провулок                                             | w406180433
 академіка Вернадського вулиця                                            | Академіка Вернадського вулиця                                            | w162232731,w162232732
 академіка Григорія Проскури вулиця                                       | Академіка Григорія Проскури вулиця                                       | w283559033
 Анджиєвського вулиця                                                     | Анджиєвського вулиця                                                     | w182069633,w182082019
 Архієпископа Луки Войно-Ясенецького вулиця                               | Архиєпископа Луки Войно-Ясенецького вулиця                               | w142939540
 архітектора Яковлева провулок                                            | Архітектора Яковлева провулок                                            | w199421715
 Багрія Олександра вулиця                                                 | Олександра Багрія вулиця                                                 | w292347318
 Бадаєва Павла вулиця                                                     | Павла Бадаєва вулиця                                                     | w201260486,w201260488,w59826748
 Бадаєва Павла провулок                                                   | Павла Бадаєва провулок                                                   | w59826722
 Бандери Степана                                                          | Степана Бандери вулиця                                                          | n5321618831
 Барановського Леоніда вулиця                                             | Леоніда Барановського вулиця                                             | w106453727
 Басейний 1-й провулок                                                    | 1-й Басейний провулок                                                    | w240224417
 Басейний 2-й провулок                                                    | 2-й Басейний провулок                                                    | w240224416,w387924975
