17-го Партз’їзду вулиця|||пос. Октябрьский |17-го Партсъезда улица|
1-го Травня вулиця|||пос. Октябрьский |1-го Мая улица|
|1 травня вулиця|571804892|||1 мая улица
20 років Жовтня вулиця|||пос. Октябрьский |20 лет Октября улица|
|22-го Партз’їзду вулиця|336723669|||22 Партсъезда улица
26-го Червня вулиця|||пос. Новый Свет |26-го Июня улица|
26-ти Бакінських Комісарів вулиця|||пос. Октябрьский |26-ти Бакинских Комиссаров улица|
3-го З’їзду Колгоспників вулиця|||пос. Ясногорка |3-го Съезда Колхозников улица|
3-го Інтернаціоналу вулиця|||пос. Октябрьский |3-го Интернационала улица|
40 років ВЛКСМ вулиця|||пос. Шабельковка |40 лет ВЛКСМ улица|
50 років Перемоги вулиця|||пос.Шабельковка |50 лет Победы улица|
XIX Партз’їзду вулиця|||Соцгород |XIX Партсъезда улица|
Абрикосова вулиця|||пос. Малотарановка |Абрикосовая улица|
Авіаційна вулиця|||пос. Новый Свет |Авиационная улица|
Аврори вулиця|||пос. Малотарановка |Авроры улица|
Адміністративна вулиця|||пос.Октябрьский |Административная улица|
Аеродромна вулиця|||с-зВеселый |Аэродромная улица|
|Аероклубна вулиця|121174943,263845344,263845345,265297449,335788750,400301550|||Аэроклубная улица
|Академічна вулиця|126629448,234672288,234672292,335788775,335788776,335788777,335788778,335788779,335788781|||Академическая улица
Алейна вулиця|||пос. Октябрьский |Аллейная улица|
Ангарський провулок|||пос. Новый Свет |Ангарский переулок|
Андрія Рубльова вулиця|||пос. Ясногорка |Андрея Рублева улица|
Анрі Барбюса вулиця|||пос. Новый Свет |Анри Барбюса улица|
|Аркадія Райкіна вулиця|196734822|||Аркадия Райкина улица
|Артемівський переїзд|120656330,120656331,120656344,257355010,335737626|||Артемовский переезд
Ашурково (роз’Їзд) вулиця|||ст. Ашурково |Ашурково (разъезд) улица|
Бабушкіна вулиця|||пос. Прокатчиков |Бабушкина улица|
Баженова вулиця|||ЦУ c-pаЯсногоровский |Баженова улица|
Байдарська вулиця|||пос. Октябрьский |Байдарская улица|
Байкальська вулиця|||пос. Беленькое |Байкальская улица|
Байрачний провулок|||пос. Беленькое |Байрачный переулок|
Балтійська вулиця|||пос. Малотарановка |Балтийская улица|
Барвінківська вулиця|||пос. Малотарановка |Барвенковская улица|
Барикадний провулок|||пос. Ивановка |Баррикадный переулок|
Баумана вулиця|||пос. Октябрьский |Баумана улица|
Березова вулиця|||пос. Беленькое |Березовая улица|
Бестужева вулиця|||с. Приволье |Бестужева улица|
Бєлова вулиця|||пос. Ясногорка |Белова улица|
Бійський провулок|||пос. Красноторка |Бийский переулок|
Білогорська вулиця|||пос.Семеновка |Белогорская улица|
Білянська вулиця|||пос. Старая Петровка |Белянская улица|
Бірюзова вулиця|||пос. Малотарановка |Бирюзова улица|
Блінова вулиця|||пос. Октябрьский |Блинова улица|
Блока вулиця|||пос. Беленькое |Блока улица|
Блюхера вулиця|||пос. Красноторка |Блюхера улица|
Бонівура вулиця|||пос. Ясногорка |Бонивура улица|
Брестська вулиця|||пос. Ивановка |Брестская улица|
Брюллова провулок|||пос. Городещино |Брюллова переулок|
Брянський провулок|||пос.Октябрьский |Брянский переулок|
Бубнова вулиця|||пос. Малотарановка |Бубнова улица|
Бугайова вулиця|||пос. Ивановка |Бугаева улица|
Будівельна вулиця|||пос. Октябрьский |Строительная улица|
Буковинська вулиця|||пос. Ясна Поляна |Буковинская улица|
|Валентина Шеймана вулиця|238872701|||Валентина Шеймана вулиця
Валентини Терешкової вулиця|||пос. Красноторка |Валентины Терешковой улица|
|Василя Стуса вулиця|120699557,121174955,121174956,196706385,267484382,335788770,335788771,335788772,335788773,335788774|||Василя Стуса улица
Верещагіна вулиця|||пос. Прокатчиков |Верещагина улица|
Верхня вулиця|||пос. Ивановка |Верхняя улица|
Ветеранів вулиця|||пос. Беленькое |Ветеранов улица|
Вишневський провулок|||пос.Красногорка |Вишневский переулок|
Вільна вулиця|||пос.Шабельковка |Вольная улица|
Вільямса вулиця|||пос. Шабельковка |Вильямса улица|
Вітебський провулок|||пос. Октябрьский |Витебский переулок|
Водний провулок|||пос. Красногорка |Водный переулок|
Водоп’янова вулиця|||пос. Октябрьский |Водопьянова улица|
Водяна вулиця|||пос. Красноторка |Водяная улица|
|Водяна вулиця|654555979|||Водная улица
Вознесенського вулиця|||Соцгород |Вознесенского улица|
Волкова вулиця|||пос. Малотарановка |Волкова улица|
|Володимира Івасюка вулиця|190063358|||Владимира Ивасюка улица
Володимирська вулиця|||пос. Малотарановка |Владимирская улица|
Вороніхіна вулиця|||ЦУ с-за Ясногоровский |Воронихина улица|
Восьмиквартирна вулиця|||Соцгород |Восьмикватирная улица|
|вулиця Уральська|542741925|||улица Уральская
Галана вулиця|||пос.З-я Александровка |Галана улица|
Гамарника вулиця|||пос. Марьевка |Гамарника улица|
|Ганни Тищенко вулиця|190064414|||Анны Тищенко улица
|гарматна вулиця|187872451|||гарматна вулиця
Гая вулиця|||пос. Малотарановка |Гая улица|
Гвардійців Кантемирівців вулиця|||Соцгород |Гвардейцев Кантемировцев улица|
Гвоздильна вулиця|||пос.Октябрьский |Гвоздильная улица|
|Героїв Небесної Сотні вулиця|126632940,161420726|||Героїв Небесної Сотні вулиця
|Героїв України вулиця|105892356,126139701|||Героев Украины улица
|Героїв України вулиця|105892355,106873200|||Героїв України вулиця
|Гірська вулиця|336920899|||Горная улица
Глинки вулиця|||пос. Малотарановка |Глинки улица|
Годуванцева вулиця|||пос. Октябрьский |Годуванцева улица|
|Голландська вулиця|336723673|||Голландская улица
Гомельська вулиця|||пос. Ивановка |Гомельская улица|
|Гончарова вулиця|120656340|||Гончарова улица
Горгуля вулиця|||пос. Шабельковка |Горгуля улица|
|Горіхова вулиця|169023602|||Ореховая улица
Горлача вулиця|||пос. Марьевка |Горлача улица|
Горна вулиця|||пос. Ясногорка |Горная улица|
Горького вулиця|||пос. Старопочтовый |Горького улица|
|Грабовська вулиця|196658255|||Грабовская улица
Гречка вулиця|||пос. Малотарановка |Гречко улица|
Грибоєдова вулиця|||пос. Петровка |Грибоедова улица|
|Григорія Сковороди вулиця|190063362|||Григория Сковороды улица
Грушевського вулиця|||пос. Беленькое |Грушевского улица|
Гур’ївська вулиця|||пос. Малотарановка |Гурьевская улица|
Дагестанська вулиця|||пос. Малотарановка |Дагестанская улица|
Дарвіна вулиця|||пос. Октябрьский |Дарвина улица|
Даргомизкого вулиця|||пос. Ясная Поляна |Даргомыжcкого улица|
Декабристів вулиця|||пос. Октябрьский |Декабристов улица|
Дем’яна Бєдного вулиця|||пос. Октябрьский |Демьяна Бедного улица|
|Джерельна вулиця|196734817|||Родниковая улица
Дзержинського вулиця|||пос. Октябрьский |Дзержинского улица|
Дибленка вулиця|||пос. Шабельковка |Дыбленко улица|
|Дмитра Мазура вулиця|154830709,336920941,361948685,361948689|||Дмитра Мазура вулиця
|Дніпровська вулиця|120702273,120702275,196668681,196719956|||Днепровская улица
Дніпропетровська вулиця|||пос. Беленькое;Станкострой2-14; 1-15 |Днепропетровская улица|
Добровольського вулиця|||пос. Марьевка |Добровольского улица|
Довженка провулок|||пос. Малотарановка |Довженко переулок|
Докучаєва вулиця|||пос. Шабельковка |Докучаева улица|
Долинська вулиця|||пос. В.Пустошь |Долинская улица|
|Дружби вулиця|335788793|||Дружбы улица
Дубового провулок|||пос. Артемовский |Дубового переулок|
Дубравінський провулок|||пос. Октябрьский |Дубравинский переулок|
Дюружани вулиця|||пос. Семеновка |Дюружаны улица|
|Елеваторна вулиця|335737627,516009719|||Элеваторная улица
Емалевий провулок|||пос. Октябрьский |Эмалевый переулок|
|ЕМСС|400301552|||ЭМСС
Епрону вулиця|||пос. Красногорка |Эпрона улица|
Естонська вулиця|||пос. Беленькое |Эстонская улица|
Єлісєєва вулиця|||пос. Марьевка |Елисеева улица|
|Єнакіївська вулиця|300902067|||Енакиевская улица
|Єстонська вулиця|196755131|||Эстонская улица
Жовтнева вулиця|||пос. Малотарановка |Октябрьская улица|
Жовтневий проспект|||пос. Октябрьский |Октябрьский проспект|
Загірна вулиця|||пос. Семеновка |Загорная улица|
Закарпатська вулиця|||пос.Ивановка |Закарпатская улица|
Закарпатський провулок|||пос. Ивановка |Закарпатский переулок|
Заслонова вулиця|||пос. Марьевка |Заслонова улица|
Затока провулок|||пос. Октябрьский |Затока переулок|
Західний провулок|||пос. Старопочтовый |Западный переулок|
Земляний провулок|||пос. Петровка |Земляной переулок|
Індустріальна вулиця|||пос. Новый Свет |Индустриальная улица|
Ірмінівський провулок|||пос. Старая Петровка |Ирминовский переулок|
|Історична вулиця|555483054|||Историческая улица
Калініна вулиця|||пос. Октябрьский |Калинина улица|
Каменський провулок|||пос. Красногорка |Каменский переулок|
Карла Лібкнехта вулиця|||пос. Октябрьский |Карла Либкнехта улица|
|Карла Лібкхнета вулиця|300902065|||Карла Либкхнета улица
Карла Маркса вулиця|||пос. Октябрьский |Карла Маркса улица|
Карпинського вулиця|||Соцгород |Карпинского улица|
|Катерини Білокур вулиця|190054211|||Екатерины Билокур улица
Каховка вулиця|||пос. старая Петровка |Каховка улица|
Каширіна вулиця|||пос.Октябрьский |Каширина улица|
Каштанова вулиця|||пос. Беленькое |Каштановая улица|
Каштанова вулиця|||пос. Шабельковка |Каштановая улица|
Квітуча вулиця|||пос. Октябрьский |Цветущая улица|
Кедрова вулиця|||пос. Шабельковка |Кедрова улица|
|Кедрова вулиця|312643194|||Кедровая улица
Кемеровська вулиця|||пос. Городещино |Кемеровская улица|
Киргизька вулиця|||пос. Малотарановка |Киргизская улица|
Кіма вулиця|||пос. Новый Свет |Кима улица|
|Кіровоградський провулок|336920905|||Кировоградский переулок
Клари Цеткін вулиця|||пос. Ивановка |Клары Цеткин улица|
Клушина вулиця|||пос.Шабельковка |Клушина улица|
Кобзаря вулиця|||пос. Беленькое |Кобзаря улица|
Ковпака вулиця|||пос. Шабельковка |Ковпака улица|
Козацька вулиця|||пос.Октябрьский |Казацкая улица|
|Колгоспний провулок|196656077|||Колхозный переулок
Кольцова вулиця|||пос. Малотарановка |Кольцова улица|
Командарма Федька вулиця|||пос. Малотарановка |Командарма Федько улица|
Комарова вулиця|||пос. Октябрьский |Комарова улица|
Комбайнерів вулиця|||пос. Малотарановка |Комбайнеров улица|
|Комерційна вулиця|154830700,154830712,335610084,335610091,335737608|||Коммерческая улица
Комсомольська вулиця|||пос. Октябрьский |Комсомольская улица|
Комсомольська площа|||Соцгород |Комсомольская площадь|
Конєва вулиця|||пос.Камышеваха |Конева улица|
|Конрада Гампера вулиця (Горького)|228984000,335737605,335737606|||Конрада Гампера улица (Горького)
Корольова вулиця|||пос. Марьевка |Королева улица|
Космічний провулок|||пос. Красноторка |Космический переулок|
Космонавтів вулиця|||пос. Ясногорка |Космонавтов улица|
Коцюбинського вулиця|||пос. Софиевка |Коцюбинского улица|
Краснодонська вулиця|||пос. Шабельковка |Краснодонская улица|
Красноторська вулиця|||пос. Красноторка |Красноторская улица|
Кременчуцька вулиця|||пос. Красногорка |Кременчугская улица|
Кремінна вулиця|||пос. Новый Свет |Кремневая улица|
|Кремінна вулиця|168969864,230101019|||Кремнева улица
Кржижанівського вулиця|||пос. Красноторка |Кржижановского улица|
|Кржижановського вулиця|654310833|||Кржижановского улица
Кронштадська вулиця|||пос. Красногорка |Кронштадская улица|
|Кронштадтська вулиця|168972080|||Кронштадтская улица
|Кропивницкого улица|154858000|||Кропивницкого улица
Кропивницького вулиця|||пос. Ясная Поляна |Кропивницкого улица|
