Nodes:
|10-й микрорайон|8-й микрорайон|3400610167|268682026
|14 апреля улица|14 Апреля улица; 14-го Апреля улица|2513556378,2513556379,2513556380,2513556381,2513556382,2513556383,2513556384,2513556385,2513556386,2513556387,2513556388,2513556389,2513556390,2513556391|111655156,111655174,243999984,243999985,243999986,243999987,244000289
|16 Липня вулиця|16-го Липня вулиця|1503476853|138297643
|1-го Листопада|1-го Листопада вулиця|3676072725|152357892
|1-й Красный переулок|1-й Червоний провулок; 2-й Червоний провулок|4002404434,4002404965,4002405735,4002414084,4002422197,4002428367,4002431760,4002435639,4002439734,4002441103,4002441893|163571536,163571538,163571540
|1 Мая улица|1-го Травня вулиця|4002404431,4002404963,4002405721,4002405732,4002407250,4002408096,4002408350,4002409626,4002411356,4002411872,4002412756,4002413319,4002413633,4002414081,4002415403,4002415686,4002416455,4002417292,4002417834,4002418243,4002419260,4002419759,4002420168,4002420753,4002420760,4002421850,4002422194,4002423134,4002423309,4002423317,4002423990,4002424146,4002424150,4002424703,4002424846,4002424849,4002424852,4002425902,4002427285,4002428363,4002429085,4002429626,4002430343,4002430562,4002431756,4002435635,4002441099,4002441889,4002444301|99223121,315108696
|1 Мая улица|Новая улица|4002405342,4002405384,4002413635,4002416089,4002417294,4002418245,4002419262,4002419765,4002420170,4002420761,4002423135,4002423318,4002423992,4002424151,4002424704,4002424853,4002425903,4002426551,4002427286,4002429087,4002429628,4002430344,4002430564,4002431459,4002432388,4002433055,4002433412,4002434562,4002435497,4002436843,4002437450,4002437952,4002438547,4002439332,4002440436,4002440516,4002440590,4002440658,4002441024,4002441598,4002441658,4002441716,4002441767,4002441821,4002442971,4002443625,4002443669,4002443715,4002443758|391475653
|1 травня|1 Травня|4013008115|369697636
|22 Січня вулиця|22-го Січня вулиця|1802011001,1823228721,1823228722,1823228723,1823228724,1823228725,1823228726,1823228727,1823228728,1823228729,1823230501,1823230502|159161469,159555997,164570193
|23 Лютого вулиця|23-го Лютого вулиця|3914935527|34918051,135112754,149419107,149419108,149419121,149419122,149419123,149419124,149419125
|25-ї Чапаєвської дивізії вулиця|25-ї Чапаєвської Дивізії вулиця|965088601|26540530,26540531,26540532,103141476,153870150,153870207,186962469
|2-й Коммунальный переулок|Комунальний провулок|4002404436,4002404967,4002405722,4002407254,4002422199,4002431762,4002435640,4002439717,4002439736,4002441104,4002441894|168582330,168582331
|2-й Красный переулок|1-й Червоний провулок; 2-й Червоний провулок|4002404437,4002414085,4002422200,4002428342,4002428369,4002435641,4002441105|163571536,163571538,163571540
|2 микрорайон|2 мікрорайон; 3 мікрорайон|2685471384,2685473961|252775686,253483499,258585945
|3 микрорайон|2 мікрорайон; 3 мікрорайон|2587927218,2685523096|252775686,253483499,258585945
|40 лет Октября|улица 40 лет Октября|2360219031|227320287
|40 лет Октября улица|40-річчя Жовтня вулиця|4002404443,4002404970,4002405740,4002407257,4002408356,4002409631,4002411363,4002411876,4002412761,4002413324,4002414292,4002415408,4002416458,4002417837,4002422204,4002428374,4002431765,4002435647,4002439740,4002441110,4002441898|168412225
|40 лет Октября улица|40 років Жовтня вулиця|3431029932,3431842982,3431843317|170791046,333657497
|40 років України вулиця|Станіслава Майсєєва вулиця|2207110035|103178757
|50-річчя ВЛКСМ проспект|Ювілейний проспект|2122603537|4421944,34945489,85965191,108105465,108193927,154480462
|50-річчя СРСР проспект|Льва Ландау проспект|2861530524,3166446061|30101517,33868214,85965208,87451168,94962957,132507967,132507968,181229729,203344300,203344301,203344302
|Cимона Петлюри вулиця|Симона Петлюри вулиця|2150358896|115830206,342828741
|Strada Gogolevska|Гоголівська вулиця|3887270417|50885112
|Авиаторов улица|Авіаторів вулиця|4002404447,4002404973,4002405743,4002407260,4002408358,4002409633,4002411367,4002411878,4002412764,4002413326,4002413640,4002414297,4002415410,4002416094,4002416460,4002417298,4002417839,4002418249,4002419264,4002419769,4002420171,4002420764,4002422208,4002423137,4002423320,4002423994,4002424154,4002428377,4002431768,4002435650,4002439742,4002441114,4002441901|118698905
|Авраменка|Авраменка вулиця|3986312379,3986318372,3986322536,3987049573,795620094|32592756
|Автодорожная улица|Автошляхова вулиця|3587965394|248979958
|Адмирала Октябрьского|Адмирала Октябрьского улица|3026996469|27718600,367713578,367713580
|Александровский|Олександрівський проспект|2340757830|26265227,26265229,26484397,26484399
|Антония и Феодосия улица|Антонія і Феодосія вулиця|4002404449,4002404976,4002405723,4002405745,4002407263,4002408361,4002409636,4002411369,4002411881,4002412765,4002413328,4002413641,4002414300,4002415412,4002416095,4002416461,4002417299,4002417840,4002418251,4002419265,4002419771,4002420172,4002420766,4002422212,4002423138,4002424706,4002425905,4002427287,4002428380,4002429088,4002429629,4002430346,4002430566,4002431772,4002435653,4002439745,4002441117,4002441903|163562790
|Арматлукская|Арматлукская улица|3008199949|131440938
|Артема вулиця|Бахмутская вулиця|2835448090,2835448091|135289283
|Артема улица|Артема вулиця|3430999418,3430999423|127602126
|Артёма улица|Артема вулиця|3456278262|335907471
|Батурина|Батурина улица|2940674497|24204185
|Бахметьева|Бахметьєва вулиця|2450640556|128282284,239977724,278587531
|Берегова|Берегова вулиця|3396822027|332535228
|Берестецька|Берестецька вулиця|3679979629|298623525
|Биологическая|Біологічна вулиця|3582740068|147231858,185623187
