ref:

int_ref:
E 002;E 60|E 60;E 002|131715885
E1||882897770
E 101;E 95|E 95;E 101|4429974,23199670,23199677,34027092,34027093,34027094,34027095,37589486,37589487,37589488,37589497,37667535,37667537,37667538,51749882,61594704,61594723,61594726,61594736,110024937,110024938,110024939,129797493,129797494,129797495,129797496,134895843,134895844,134896335,134896336,134896337,134896338,134896454,134896455,134896456,134896457,134896458,134896459,134896460,134896461,134896475,134896476,134896477,134896478,134896636,134896637,134896639,134896681,134896682,134896683,134896684,134897078,134897079,134897080,134897081,134897082,134897083,134922199,134922201,134922202,176613187,176613188,176613189,176613190,176613191,176613192,251242940,281297232,281297233,355908130,454304421,454304426,454306041,454306045,462056877,462056879,462066423,474578998,495752949,503958189,503958193,587767949,598519342,671567078,671567080,808434381,808434382,860676705,914363344
E 105||804374073,804374075,810488437
E 105;E 105|E 105|111812072
E 105;E 30|E 30;E 105;AH8|30131617,48472849,93848554
E 105;E 40|E 40;E 105|23297170,23297230,23297233,23297237,30173399,30173400,30183849,30183851,37939192,37939193,88506354,88506376,88827330,127917600,127917602,127917604,127917606,133887239,133887240,139505879,156319661,156597060,159328198,159328199,159328200,159328201,159813362,159813363,159815291,159815292,159815293,159815294,170435056,171062781,171062782,171062783,171062784,229139545,233884429,241208087,253097826,253097827,286555685,583112790,583143995,583143996,583143997,583410641,604953669,604953670,685598853,710493485,721994726,721994727,731535353,748955294,748957050,754032629,847727920,847727923,847727924,847727925,847727926,847738155,856479911,856479912
E 105;E 97|E 97;E 105|93305566
E 115;E 22|E 22;E 115|30131929
E 115;E 50|E 50;E 115|516227924
E 117|E 117;AH82|82627748
E 119|E 119;AH8|174054670,913202822
E 123|E 123;AH7|529811068
E13||768624114,911408323,911408325
E14||920238363
E 18|E 18;AH8|700045301
E1A||159666001
E20;E45||143580898
E25||374167781
E2A||219529644
E2;AH26|AH26|71282512,575716482
E30||83697048,83697122,919310689,919310761
E 30|E 30;AH6|37614217,37614218,39349214,49862663,59161697,170077464,196814029,281939916,593116663,837211045,888724373
E35||693424783,923274028
E 372||170196968,382070245,727102310,727102312
E 373||23491239,23491243,23491255,188048985,214163693,769582334
E 373;E 40|E 40|188048984,777068747
E40||385363846
E 40|AH5;AH60;E 40|911142928
E 40|E 40;E 50|297391950,297391954,297397764,297397768
E 40||185503580,230551604,624140225,694262583,694266423,694266424,741683540,779323554,786970054,829840446,846712788,852441487,852441488,852441489,852441490,852441491
E 40;E 40|E 40|779359222
E 40;E 40||624140227
E 40;E 85|E 40|857000854
E41||112753690,919040099
E42||120297866
E45||43950953
E-470||16975704,39200659
E 471|E 50;E 471|23251676,23252998,23253000,23253002,23253009,23253010,23253011,34782016,34782022,34782023,34782025,39775065,39775066,97853179,97853186,97853188,98854442,121854759,121854760,121854761,122114948,122114949,122114950,122397327,122398382,122398383,138987600,162120456,162120457,162120458,165941269,171918631,171918632,174755559,174755562,174755565,183570776,183570778,198655136,198655137,200461947,200666183,200666184,201178445,201178447,203731245,203731246,203731247,203731248,203891870,203891871,203891872,203891873,203891874,203891875,203891876,203891877,204654669,204654672,205403394,205403396,205403397,205403398,205403399,205403400,205403401,205403402,205403403,205403405,205403406,205403407,205403408,205403409,205403410,205403411,222877420,226237252,230015755,230022862,230022863,230675604,230675605,230675606,230675607,236258162,236258163,236258164,236258165,236258171,236258177,236258178,236258179,236258181,236258182,236258183,236258184,236258186,236258187,236260113,236260117,236260121,236260123,236260124,236260125,236260904,236260906,236260908,236260909,236462412,236462413,236462414,239171582,239171583,244617725,254041233,254041234,254041235,254041236,281309613,281309614,297416490,308840032,308840033,327780812,327780813,327780814,327780815,327780816,327780817,362556962,362720589,362800580,362849827,363128199,363128886,364035484,364880268,364996574,368652983,368652986,369935518,369935519,403108470,403627820,403627821,403672772,403672773,403883820,406600198,406600199,417551925,417551995,417552008,417552022,417552045,417552060,417552075,417552088,423409511,431054494,431054495,431826679,435760539,436190657,452983425,452986823,452986824,452988071,453004746,453004747,453004748,453004916,453045205,453046572,453049166,453050954,453050959,453076225,453084273,453084908,453087361,453561089,453563180,453563648,453568584,453784392,453785465,453785466,453785590,453796406,453797943,453797944,453798598,453810548,454025128,454025129,454051563,454052458,457488057,457660401,457722946,458143299,458487853,458489603,461953853,462651398,462651399,462651400,462717397,462717400,462717972,462719253,462719254,504892045,557990524,557990527,557990532,558513582,558898576,559467187,564661076,564661077,692238185,692240273,692242572,692242573,692242574,692243106,692243107,692243877,692243878,692243879,692243880,692244413,692244416,692244418,692283116,692283117,692283118,692284422,692284423,692285045,692285046,692291559,692291562,692291565,692291568,692291571,692291574,692303018,692303019,692303020,692310372,692310373,692310670,692310671,692310672,692311013,692311014,692383559,692383560,692383561,692383562,692390234,692390235,692391381,692391952,692391953,692391954,692391955,692434133,692434134,692434135,692434568,692434569,692434570,692435775,692435776,692481656,692481657,692484007,692484011,692484015,692484019,822081595,822675096,822685340,822685341,822685342,822685343,822685344,822685345,822685347,823268124,823268125,823271208,823271211,823277818,823277819,823277822,823277823,823277824,823277828,823575828,823575829,823575830,823575831,823575832,823575833,823575835,823575838,823592239,823592240,823592241,823592242,823592245,823592246,825544568,836309398,836309399,838971531,838971532,841677609,845533007,845581168,845583008,845583009,846335712,846345077,847991210,851589710,851589711,851589712,855592726,855592727,856451441,857358009,857358010,857358011,857358012,857377248,857487972,857496698,857496699,857496700,860111733,864731466,864731467,878010996,878020408,878020409,878381675,878381676,878381677,878381678,881048512,881053541,882167904,885314019,892830692,892830693
E 471;E 58|E 50;E 58;E 471|55609189
E5||907603238,907603239,907603242,907603243,907603244,907603245,907603246,907603247,907603248,907603249,907603250,907603251
E 571;E 58|E 58;E 571|19881013
E 58|E 50;E 58|13528729,23211313,23250373,23250374,35818703,47321763,47321764,60209678,60209680,60209687,76593130,78376453,95953276,95953277,95953278,95953570,95953573,147238649,147238652,162106384,166020546,166020547,167590378,167590379,167590380,167590381,204654668,204654671,204654673,204654675,204654676,227354369,227354372,227354373,227354374,227363090,227363092,227363094,227363096,227363103,227363106,228502674,228502675,229508342,232884256,232884257,232884258,232884259,232884260,232884261,232884262,232884263,291902966,291902967,294348937,338356683,338356684,338356685,338663363,338874815,338877885,338878515,417551934,417551942,423241106,423241107,423241108,423241109,423241395,423241398,438166443,499061621,499061623,532577139,532577141,533165268,533165269,533165270,589046375,589046378,589046380,589046383,589046385,589046387,589046389,589046390,589046392,589046393,589046395,589046397,589046399,589046401,589046407,589046409,589046416,589046418,589046421,589046424,589046428,589046433,589046436,589046439,589046444,589046447,590209229,590209232,590209235,590209244,590209248,626680008,626680009,636517469,636517470,637391881,649839341,653735222,744654149,744654150,797161843,797161844,797161845,797161846,797161847,797161848,799454339,799454340,799454341,799454342,799454343,799454344,799454345,799454346,807199746,839622956,839622958,846349615,846349616,846349617,846349618,846349619,846669481,850789271,850789272,857538537,857538538,857538539,863879258,864842789,865576188,865578276,872272246,878733094,878733096,878733097,880154142,880154143,880291188,880291189,882168932,882168933,885951714,888023888,888023889,888023890,889385825,896168057,903144151,920587502,920587503,921298194,921298195,921779595,921779596,922554477,924105184
E 58|E 58;E 81|23211315,35818702,35818706
E 58|E 58;E 81;E 471|35818705,55609188
E 58||185311238,185311240,847670309,847670311,847670312,847670313,847670317,847670319
E 581;E 87|E 87;E 581|234869452
E 583|E 50;E 583|34105338,35285863,35285864,35738574,35894221,80280656,133734699,351090110,486140764,486140765,486140766,486140768,486143870,486143872,486143873,486741323,486741327,486741337,486741343,486741348,486741355,486741362,486741381,486741387,744685465,759350786,830754448,912285918
E 583||796311276,796311278,796311285,798157602,798157606,798157607,798157608,800532096,800532103,803108843,803108846,803108848,803108856,803276342,803442465,804878472,804963397,804978147,807720168,809029576,813045200,901144879
E 584|E 50;E 584|23195401,23210567,23210593,23210627,23210722,23210732,26170724,28506608,57894049,57894085,112166308,112474470,114975734,114975737,114975739,138105187,153413860,153413864,153686428,153686435,153686449,153686471,156581083,156581084,178640785,180218296,208126283,227096531,281549193,281549196,281549197,288288017,288288019,300792463,306818451,359675702,359675703,359675704,359675705,359675706,359675707,359904983,359904984,359904985,359904986,361062467,361062468,361062469,361062470,361494295,361494296,363775576,363775579,416371395,487042069,528119928,528119930,675529861,675533450,675533454,675534929,675542183,675542187,675713884,675715214,675715215,675889820,675891962,675891963,675891964,675891965,803369822,859415008,859786994,859786995,904250191,912190476,923129514
E 584||210428789,300927750,392082218,814593223
E 584;E 87|E 87;E 584|33512750
E 58;E 581;E 87|E 58;E 87;E 581|25345115,231447863,231447864,231447865,234869451,547757042,593048262
E 58;E 583||913356435
E 60|AH62;E 60|284621429
E-61||248001751
E 692;E 97|E 70;E 97;E 692|885844389,885844390
E71||42303243,42303244,858450376
E71;E71||657457717
E 802||147040409,147040417,147040421,549786886,549786887,549826626,880900815
E 81|E 58;E 81|894741095,894741099,894741100,894741101,894741102,903181320
E 85|E 50;E 85|56757453,56757472,78240673,104745231,104894306,104894309,231532429,231532430,232075612,232075613,232075614,232075615,232075616,232075617,233654797,287011541,390157897,390158305,390807746,856163621,859884806,859884807
E 85||551258329,744491084
E 90|E 79;E 90|332387959
E 90;E 92|E 90;E 92;E 951|27487407
E 95||485228156,485228157,765789337,765789338
E 97|E 70;E 97|30529198
EN 2||36965159,39344297,476099403,837627660
EN 3||53904230,77342144
EN 311||347264665
ER 214||26165559
ERS-122||595573010
ERS-324||88446735
ERS-330||335582260,927657634
ERS-418||456408979
ES-080||323702270
ES-320||31580353,292438380,321463942
ETC||42114484,911656633
|A-15|25510737,28516834
|A2|842445391
|AH1|28155557,51252811,63223277,89366111,340193894,351933626,351933627,427907731,430874759,612050463,616515173,752885450,908284787,908284789,908284791,908284792,908284793
|AH12|88665931,88665943
|AH13;AH16|738104526
|AH19|32894910,108189501,148562994,155957765,155958695,155961759,446861050
|AH1;AH2|217995129,621399433,699303864
|AH2|4463116,84234806,84234898,117162843,232298967,428787617
|AH26|4705367,23977308,30265744,31373703,42132865,53828047,54233891,59585038,114100851,116440393,151346556,200255595,218209300,237010790,307961716,332238001,575716483,576996540,578709640,682344462,732911075,793338659,907626153,908288540,908288541,923021103
|AH4|182735203,218879114,292023261
|AH42|259371707
|AH45|28544643,785674568
|AH47|905770071
|AH5|166136904
|AH6|384953999,549720023
|AH61|231191938
|AH70|228843886
|AH72|27092089,845142716
|AH75|25978517
|AH76|79868830,355578843,415344184,416211518,430859938,580139929,741588035
|AH78|845349249
|AH8|513288995
|E 06|224742780,241947708
|E 101|616497322,616497327,778358096,778358097
|E 105|24203959,24203960,810710584
|E 20|386801138
|E 22|925508882,925508883
|E 28|894675326
|E 30|148749604,172233539
|E 36|142654553,142654555,142654556,208458861
|E 40|220707791,542937700,853018661,857283832,860215528,891891417,908396461,914267201,914267202,914267203,914267204
|E 40;AH70|190835752
|E 461|920156121,920156122
