uk:
1-а|1-я|12|58437498,76858025,118564752,157701085,157701086,157701090,189102129,199478390,206663185,260357592,304733119,388786566
1-а|6-ой станции Люстдорфской дороги 1-я|1|31511564
1-й Вишневий|1-й Вишневий|1|395251201
1-й Вишневий|1-й Вишнёвый|1|42258017
40-річчя Перемоги|40-летия победы|5|30176050,34917857,35148542,156430673,235599829
40-річчя Перемоги|40-летия Победы|34|26793285,28617705,94329148,99491612,118698908,136037598,143221040,156579610,156579611,158756021,159757767,160034541,167428470,202883391,206504680,228838221,230588203,230588204,234869494,250923697,259622161,272921006,273652408,276030563,305760056,305760058,316646792,322204417,341046729,341046731,341046733,341046735,341046737,341046741
50-річчя Перемоги|50-летия Победы|27|30175968,30193510,30634899,34779302,44682989,48903454,48903457,67109409,67109425,67109443,97235141,98853299,98860835,103629319,108307365,113597299,113597312,132125371,146894685,152462842,156304106,167321830,169463920,307734064,307734065,318980891,355939093
50-річчя Перемоги|6-й Советский|2|219952048,235538259
5-а лінія|5-я|1|24802829
5-а лінія|5-я линия|3|243097841,243097842,265974170
60-річчя Жовтня|60-летия Октября|27|39227921,52826501,66208309,109577113,110016927,114372348,114372877,114372878,114372879,119774797,119774826,175941297,178290656,225412347,256563273,269909014,269909015,273649584,299128534,307978424,307978429,391863907,391864069,392060453,392060458,392070187,392070192
60-річчя Жовтня|Свободs|1|39227920
60 років Жовтня|60 лет Октября|32|94701375,95416918,95517275,95517277,97548695,98194582,99730899,101502812,101851432,123214738,124793031,125348239,127004282,132741959,133657862,148468103,148468123,149523957,152927445,153373351,170582410,173944948,186937037,193679042,282578978,286064491,306279190,306279192,336062536,336729718,378508294,386360124
60 років Жовтня|60-лет Октября|1|300575600
