1-а Садибна вулиця|w130137979
1-го травня вулиця|w129426847
1-й Берегометський провулок|w29502905
1-й Богунський провулок|w313249360
1-й Виноградний провулок|w165890083
1-й Географічний проїзд|w204536873
1-й Житній провулок|w313527512
1-й Іларія Карбулицького провулок|w27291142
1-й Кам’янопотіцької провулок|w150895610
1-й Кохнівський проїзд|w302095828
1-й Курганний провулок|w87959002
1-й Павликівський провулок|w313813544
1-й Паровозний провулок|w313817384
1-й робочий провулок|w74725004
1-й Староленківський провулок|w245715373
1-й Тетерівський провулок|w314247253
1-й Фруктовий провулок|w314254560
1-й Харківський провулок|w283961018
1-й Ходорівський провулок|w29502421,w29502489,w151223943
1-й Червоноармійський провулок|w161676630
1-й Шипинський провулок|w112325040
1-й Ющенка провулок|w162195152
1-й Ягідний проїзд|w302623403
1-ї Ради провулок|w160308466,w163544801
10-а Текстильна вулиця|w237340226
10-й Дачний провулок|w313422200
107-ї Кременецької Дивізії вулиця|w229124185,w229124194,w229124195
11-а Текстильна вулиця|w237340224,w237342449
12-а Текстильна вулиця|w237340222
12 Гвардійської Дивізії вулиця|w181330010
13-а Текстильна вулиця|w237340221,w237340223
16-го Березня вулиця|w283377044
18-го Вересня вулиця|w174291159
19-го Серпня вулиця|w165719949,w182387171
19 років Жовтня провулок|w164477855
2-а Червоногвардійська вулиця|w84573409
2-й Артема провулок|w148553317,w236534088
2-й Богунський провулок|w313250917,w313251297
2-й Вільський провулок|w313369750
2-й Генерала Арабея проїзд|w152436746
2-й Горіхівський провулок|w103359612
2-й Горіховий проїзд|w205058711,w205059018
2-й Довженка провулок|w223505208,w236039074
2-й Журналістів проїзд|w204535117
2-й Златопільський провулок|w143234583
2-й Зорге провулок|w204095762
2-й Кам’янопотіцької провулок|w150895615
2-й Ковалевської провулок|w184270806
2-й Колгоспної провулок|w223676892
2-й Кохнівський проїзд|w302095861
2-й Красносільський провулок|w148549129
2-й Крондштадський провулок|w110003242
2-й Крошенський провулок|w313656513
2-й Круглицької провулок|w147415696
2-й Курганний провулок|w87958991
2-й Леніна провулок|w219837187
2-й Липневий проїзд|w205051183
2-й Лібкнехта провулок|w221818557
2-й Льва Толстого провулок|w314248664
2-й Максимовича проїзд|w175185632
2-й Максютова провулок|w87959003
2-й Маріупольський провулок|w149966528
2-й Метеорологічної провулок|w144335831,w145159643,w145159650,w175501111
2-й Нижній провулок|w182832508
2-й Новгородський провулок|w282566723
2-й Нової провулок|w144337612
2-й Новопівнічний провулок|w187649968,w187649975,w320804605
2-й Новоселецької провулок|w150895622
2-й Павленка проїзд|w204414470
2-й Паровозний провулок|w313817469
2-й Першотравневий провулок|w38708328,w219956958,w221818559,w258507114,w258507570,w313823869
2-й Петра Сагайдачного провулок|w101348744
2-й Північно-Кільцевої провулок|w150213004
2-й Поліни Осипенко провулок|w176071747
2-й Полтавський провулок|w183317315
2-й Праці провулок|w313993274
2-й Пушкіна провулок|w184017937,w236531621
2-й Річковий провулок|w236534079
